epoch,train_loss,train_torque_loss,train_steer_loss,val_loss,val_torque_loss,val_steer_loss,learning_rate,is_best,timestamp
1,40.48439833697151,27.069031995885513,53.89976580002729,1.2864701390266418,1.0452035069465637,1.5277368068695067,0.0001,True,2025-12-14T07:54:51.268868
2,17.65746851528392,18.242085456848145,17.07285162981819,1.6483145475387573,1.2057633876800538,2.0908656120300293,0.0001,False,2025-12-14T07:54:58.125261
3,12.343132299535414,12.988915836109834,11.697348678813261,2.257762575149536,2.7844204902648926,1.7311046838760376,0.0001,False,2025-12-14T07:55:07.950043
4,8.224699413075166,8.467439511243034,7.98195951125201,1.0782995343208313,1.0671180009841919,1.0894810557365417,0.0001,True,2025-12-14T07:55:17.974520
5,6.168753778233247,6.4753931971157295,5.862114359350765,1.0251647770404815,0.8163364231586456,1.2339931845664978,0.0001,True,2025-12-14T07:55:28.289489
6,4.403220176696777,4.414264391450321,4.392176137251012,1.4468273878097535,1.150551450252533,1.743103265762329,0.0001,False,2025-12-14T07:55:38.531466
7,3.9240053681766285,4.2765995684792015,3.5714112099479225,0.7139455318450928,0.719906461238861,0.7079846382141113,0.0001,True,2025-12-14T07:55:48.726705
8,2.992440132533803,3.223476571195266,2.7614037219215843,0.8391613245010376,0.8962099194526673,0.7821126937866211,0.0001,False,2025-12-14T07:55:58.921468
9,2.4589482195237102,2.6758998422061695,2.2419965267181396,0.45183650851249696,0.5085741519927979,0.39509886503219604,0.0001,True,2025-12-14T07:56:09.103384
10,2.120665066382464,2.003481346018174,2.2378488498575546,0.4666344165802002,0.48858931064605715,0.4446795254945755,0.0001,False,2025-12-14T07:56:19.337290
11,1.917968245113597,1.9027111214749954,1.9332252810983097,0.3100045174360275,0.2883707404136658,0.3316383004188538,0.0001,True,2025-12-14T07:56:29.590103
12,1.4751878836575676,1.656510304002201,1.2938654861029457,0.43654594421386717,0.6056303024291992,0.2674615539610386,0.0001,False,2025-12-14T07:56:39.875495
13,1.3128060312832104,1.3968038173282848,1.2288082732873804,0.2560062825679779,0.3165179580450058,0.19549460783600808,0.0001,True,2025-12-14T07:56:50.287638
14,1.2415412559228785,1.2275068584610433,1.255575667409336,0.32815571427345275,0.30721351504325867,0.3490979015827179,0.0001,False,2025-12-14T07:57:00.795217
15,0.9111098910079283,0.9591672455563265,0.8630525574964636,0.2602093994617462,0.2903678774833679,0.23005093336105348,0.0001,False,2025-12-14T07:57:11.401656
